AST Calving CK Daysrec Inflamat Myopathy Outcome PCV Urea 
590 1 3000 1 0 NA 1 41 10.9 
1240 1 12100 4 NA 1 1 NA 23.8 
207 1 600 0 1 NA 0 31 8.1 
113 1 590 1 NA NA 0 43 14.6 
243 1 1800 2 NA 0 0 48 12.3 
150 0 380 6 1 0 0 28 NA 
303 1 1300 4 1 0 0 30 3.1 
93 1 830 1 1 NA 1 37 6.5 
240 1 2700 0 NA NA 0 30 9.9 
740 1 1800 1 0 1 0 34 5.8 
80 1 200 4 1 0 0 34 5.8 
490 0 7400 0 0 NA 0 23 5.6 
150 1 620 2 1 0 1 35 7.6 
110 1 910 NA NA NA 1 NA 12.7 
67 1 140 1 NA NA 1 33 8.6 
107 1 500 2 1 0 1 41 5.5 
83 1 160 2 NA 0 0 31 15.3 
213 1 91 0 1 NA 1 27 7.1 
90 1 680 0 1 NA 1 19 11.6 
527 1 4200 6 1 1 0 31 9 
157 1 592 1 1 NA 0 NA 10.6 
480 1 2600 1 1 NA 0 32 9.5 
2400 1 13000 1 1 1 0 42 7.5 
450 1 13000 2 1 1 0 29 3.9 
150 1 980 1 1 0 0 39 6 
910 0 2600 3 NA 1 0 20 4.2 
313 0 11000 0 NA NA 0 NA 7.3 
590 0 2300 3 1 0 0 34 6.1 
NA 1 85 1 NA NA 1 NA 10 
57 1 286 0 0 NA 1 35 5.6 
NA 1 130 0 1 NA 0 49 20.3 
143 1 1106 0 0 NA 1 47 11.8 
33 0 20 0 1 NA 0 30 8.9 
320 0 NA 8 1 NA 0 27 4.5 
2200 1 71000 0 NA 1 0 NA 21 
100 1 820 1 NA NA 1 NA 6.3 
133 0 521 3 0 0 0 31 8.5 
740 1 32670 0 1 1 0 48 11.8 
120 1 325 0 1 NA 0 38 14.5 
173 1 980 2 NA 0 1 38 4.8 
783 1 12886 1 NA 1 0 NA 4.1 
957 0 8330 0 NA 1 0 NA 4.7 
333 1 7289 0 NA NA 0 NA 5.9 
347 1 8057 0 NA NA 0 27 12.9 
203 1 3905 1 NA NA 0 37 12.3 
227 1 3085 3 1 0 1 33 7.2 
240 0 3905 1 1 NA 0 27 1 
210 1 1952 1 NA NA 0 NA 10.7 
53 1 26 4 NA 0 0 NA 8.7 
457 0 14057 2 NA 1 0 NA 4.2 
200 1 2668 0 1 NA 0 34 10.4 
87 1 130 0 1 NA 1 32 6.7 
140 1 260 0 NA NA 1 42 6.5 
1800 1 20826 1 NA 1 0 NA 12.9 
167 0 2323 0 0 NA 1 41 6.1 
97 1 790 0 NA NA 0 NA 6.3 
87 1 590 0 NA NA 1 NA 6.7 
1900 1 35000 0 NA 1 0 40 5.2 
457 0 11975 2 NA 1 0 NA 7.6 
93 0 1067 1 NA 0 1 NA 6.3 
897 1 6248 3 NA 1 0 NA 11.8 
537 1 7419 2 NA 0 0 NA 13.8 
453 1 1302 4 1 0 0 37 5 
423 0 5206 0 1 NA 0 24 6.6 
74 1 443 0 0 NA 0 38 9.2 
370 1 3300 3 1 0 0 35 4.2 
370 1 680 0 NA NA 1 NA 6.9 
820 0 NA 8 1 1 0 34 7.2 
140 0 1100 2 NA 0 1 NA 6.6 
127 1 1803 1 NA 0 0 NA 8.6 
43 1 13 0 NA NA 1 NA 8 
53 1 390 0 1 NA 1 35 9.3 
107 1 390 2 0 0 1 35 9.8 
270 1 4900 1 NA NA 1 NA 8.1 
243 1 3449 1 1 0 0 39 11.7 
53 1 640 0 1 NA 1 33 5.1 
60 1 140 2 NA 0 1 NA 6.9 
130 1 340 1 NA NA 0 30 8.5 
47 0 52 0 0 NA 1 39 7.2 
310 0 2700 0 NA NA 0 30 9.8 
160 0 230 0 NA NA 1 34 5.6 
440 0 36000 1 NA 1 0 51 9.8 
170 0 3500 1 NA NA 1 NA 3.6 
900 1 2206 3 NA 1 1 NA 5.1 
80 0 1341 1 NA NA 1 33 9.6 
713 0 4165 2 NA 1 0 40 7.2 
70 1 104 0 NA NA 1 NA 6.9 
510 1 2500 4 0 0 0 40 11 
150 0 2700 1 NA NA 0 47 50 
100 1 400 0 NA NA 1 40 6.4 
307 1 1692 0 NA NA 1 NA 6.3 
150 1 21000 2 NA 1 0 NA 7.9 
590 0 21000 0 0 1 0 40 7.1 
493 0 NA 9 NA NA 0 39 5 
683 1 32930 2 1 1 0 41 30 
107 0 1549 0 NA NA 0 NA 11 
163 0 3775 2 0 0 1 42 3 
1263 1 44254 3 NA 1 0 NA 7 
93 1 703 0 NA NA 1 NA 8.9 
937 1 54016 1 1 1 0 34 26 
660 1 2603 2 1 1 0 31 7 
437 0 5662 1 NA NA 0 NA 7.8 
877 1 5100 0 NA 1 0 NA 6.3 
517 1 10673 1 0 NA 0 32 17.2 
187 1 1302 5 0 0 1 32 4.5 
163 1 716 0 1 NA 1 42 7 
440 1 1600 3 NA 0 0 NA 6.4 
213 1 1367 1 1 NA 1 38 10.5 
430 1 1431 4 1 0 0 35 10 
253 1 3153 4 1 0 1 35 4.8 
676 1 11844 1 0 1 0 43 20.9 
143 1 240 2 0 0 1 32 3 
123 1 355 3 1 0 1 27 6 
313 1 7874 0 0 NA 1 32 10.1 
175 1 210 0 NA NA 0 34 21 
312 1 3990 1 0 0 0 38 12 
447 1 2900 1 NA NA 0 36 14.3 
147 1 260 0 NA NA 1 32 8.4 
253 1 540 3 1 0 1 31 4 
133 1 260 1 1 NA 1 35 7.6 
130 1 230 2 1 0 0 61 15.7 
180 1 911 2 1 0 0 36 4.6 
180 1 960 0 1 NA 1 34 8.9 
180 1 1200 3 1 0 0 33 5.7 
93 1 790 1 NA 0 0 NA 4.8 
220 1 2343 2 NA 0 1 NA 10.9 
420 1 2733 3 NA 0 0 NA 5.5 
230 1 911 2 NA 0 0 NA 9.1 
130 1 2670 2 NA 0 0 NA 7.2 
107 1 1170 2 NA 0 0 NA 8.2 
317 0 4425 0 NA NA 0 NA 6.6 
237 1 1302 1 NA NA 1 NA 4.6 
527 1 1041 0 NA NA 0 NA 3.4 
680 1 5467 2 NA 1 0 NA 19.5 
137 1 850 2 NA 0 1 NA 8.5 
110 1 810 0 0 NA 1 34 8.8 
500 1 1600 4 1 0 0 29 3.5 
120 1 570 0 0 NA 1 37 7.6 
110 1 612 1 0 NA 0 36 9.1 
87 0 130 0 NA NA 1 NA 4.5 
580 1 5700 4 1 0 0 35 27.8 
67 1 350 0 1 NA 1 33 3.9 
270 1 2864 0 1 NA 0 46 12.7 
130 1 2343 1 0 NA 0 36 4.4 
323 0 3254 1 1 NA 0 26 4.9 
60 0 160 0 NA NA 1 NA 4.9 
97 1 170 0 NA NA 1 NA 5.6 
160 0 5100 3 NA 0 1 NA 5.4 
320 1 4300 2 NA 0 0 NA 2.3 
80 1 390 0 1 NA 1 33 5.8 
97 1 460 1 1 NA 0 38 6.7 
1700 1 24100 4 NA 1 0 NA 18 
73 1 980 0 NA NA 1 NA 7.1 
140 1 1800 1 1 NA 1 41 4.3 
67 0 330 1 NA NA 0 NA 3.8 
67 1 98 0 1 NA 1 NA 6.2 
50 1 72 0 NA NA 1 31 6.3 
297 1 260 7 1 0 0 38 3.8 
177 1 200 7 1 0 0 29 4.1 
157 1 520 0 1 NA 0 43 15.3 
1133 1 39000 3 1 1 0 38 28.8 
193 1 1822 2 1 0 0 45 9.5 
NA 1 NA 0 0 NA 0 48 NA 
150 1 2603 2 NA 0 0 NA 10.3 
567 1 3644 5 NA 0 0 29 6 
600 1 NA 8 NA NA 0 NA 5 
120 1 2096 0 NA NA 0 NA 12.9 
73 0 1497 0 NA NA 1 NA 21 
237 1 350 1 1 NA 0 40 11.5 
237 1 905 0 0 NA 0 38 11.1 
137 1 436 0 1 NA 0 41 29 
154 1 NA 0 1 NA 1 37 NA 
437 1 NA 4 1 NA 0 40 4.3 
157 1 NA 1 1 NA 0 39 9.4 
193 1 9100 2 1 0 0 38 10.2 
83 0 677 2 1 0 0 29 5.4 
157 1 1041 0 NA NA 1 NA 14.6 
52 0 202 0 1 NA 0 32 7.1 
720 1 16791 1 1 1 0 44 25.9 
773 1 5857 3 1 1 0 37 13 
180 1 1300 0 NA NA 0 NA 10.8 
810 1 7810 1 NA 1 0 NA 32.5 
160 0 1041 0 1 NA 0 26 17.2 
90 1 447 1 1 NA 1 29 4.9 
277 1 700 4 NA 0 0 NA 6.5 
133 1 287 3 NA 0 1 NA 6.8 
143 0 3085 0 NA NA 1 NA 6.7 
613 1 26020 2 NA 1 0 NA 7 
100 1 130 0 NA NA 1 40 7.6 
NA 1 NA 0 1 NA 1 31 23 
600 1 1627 6 NA 0 0 NA 30.4 
116 1 428 0 NA NA 1 NA 8.4 
92 1 2940 0 NA NA 0 NA 11.1 
144 1 2900 1 0 0 1 37 7.7 
122 1 149 7 NA 0 0 30 3.3 
494 1 2880 1 NA NA 0 NA 4.8 
245 1 5490 1 NA 0 0 NA 13.1 
166 1 4620 0 1 NA 0 33 11.2 
319 1 3620 2 0 0 0 28 9.5 
41 1 120 1 NA NA 1 NA 6 
117 1 3300 1 NA NA 1 48 14.1 
164 1 3620 3 NA 0 0 36 6.5 
267 1 14900 1 1 1 0 37 32.8 
